,Date,count_0,count_1,count_2,status
0,2017-01-01,1,2,2,
1,2017-01-02,0,0,7,
2,2017-01-03,8,6,11,1.0
3,2017-01-04,4,11,7,1.0
4,2017-01-05,1,9,16,1.0
5,2017-01-06,1,0,2,1.0
6,2017-01-07,0,0,1,
7,2017-01-08,2,4,30,
8,2017-01-09,12,6,49,0.0
9,2017-01-10,6,6,28,1.0
10,2017-01-11,0,2,4,0.0
11,2017-01-12,1,1,3,1.0
12,2017-01-13,3,5,0,0.0
13,2017-01-14,3,16,15,
14,2017-01-15,6,13,25,
15,2017-01-16,2,4,11,0.0
16,2017-01-17,2,7,12,1.0
17,2017-01-18,4,8,6,0.0
18,2017-01-19,10,14,27,0.0
19,2017-01-20,4,23,14,1.0
20,2017-01-21,0,5,7,
21,2017-01-22,1,2,0,
22,2017-01-23,1,9,12,1.0
23,2017-01-24,7,14,15,1.0
24,2017-01-25,0,1,3,
25,2017-01-26,1,1,15,
26,2017-01-27,0,0,3,
27,2017-01-30,0,0,1,
28,2017-01-31,0,1,5,
29,2017-02-01,0,2,7,
30,2017-02-02,5,12,8,0.0
31,2017-02-03,2,3,6,1.0
32,2017-02-04,11,11,45,
33,2017-02-05,5,6,28,
34,2017-02-06,1,2,6,1.0
35,2017-02-07,1,1,6,1.0
36,2017-02-08,2,3,13,0.0
37,2017-02-09,5,18,32,1.0
38,2017-02-10,6,13,39,1.0
39,2017-02-11,4,8,23,
40,2017-02-12,2,4,32,
41,2017-02-13,5,3,92,1.0
42,2017-02-14,2,3,20,1.0
43,2017-02-15,3,7,5,1.0
44,2017-02-16,1,3,3,0.0
45,2017-02-17,0,1,1,0.0
46,2017-02-18,1,4,2,
47,2017-02-19,3,2,15,
48,2017-02-20,2,6,2,0.0
49,2017-02-21,3,5,29,1.0
50,2017-02-22,3,4,24,1.0
51,2017-02-23,1,2,32,0.0
52,2017-02-24,4,3,15,0.0
53,2017-02-25,2,3,3,
54,2017-02-26,2,3,1,
55,2017-02-27,1,4,9,
56,2017-02-28,3,12,3,
57,2017-03-01,1,0,7,0.0
58,2017-03-02,7,8,31,1.0
