,Unnamed: 0,Date,count_0,count_1,count_2,status
2,2,2020-11-23,7,11,26,1.0
3,3,2020-11-24,3,5,10,0.0
4,4,2020-11-25,3,5,17,0.0
5,5,2020-11-26,1,1,7,1.0
6,6,2020-11-27,0,0,5,1.0
9,9,2020-11-30,5,4,14,0.0
10,10,2020-12-01,0,2,2,1.0
11,11,2020-12-02,12,29,54,1.0
12,12,2020-12-03,30,60,94,0.0
13,13,2020-12-04,31,53,76,1.0
16,16,2020-12-07,47,118,129,1.0
17,17,2020-12-08,21,38,53,1.0
18,18,2020-12-09,2,8,8,1.0
19,19,2020-12-10,5,1,4,0.0
20,20,2020-12-11,0,2,2,1.0
22,22,2020-12-14,0,0,3,0.0
23,23,2020-12-15,16,20,29,0.0
24,24,2020-12-16,19,33,65,1.0
25,25,2020-12-17,18,36,94,0.0
26,26,2020-12-18,18,12,72,0.0
29,29,2020-12-21,63,94,172,1.0
30,30,2020-12-22,0,0,1,0.0
31,31,2020-12-23,30,41,108,1.0
32,32,2020-12-24,22,48,78,1.0
33,33,2020-12-25,0,1,0,1.0
36,36,2020-12-28,61,147,280,1.0
37,37,2020-12-29,30,49,90,0.0
38,38,2020-12-30,61,79,118,1.0
39,39,2020-12-31,49,72,106,1.0
43,43,2021-01-04,27,46,125,1.0
44,44,2021-01-05,69,119,193,1.0
45,45,2021-01-06,1,1,1,0.0
46,46,2021-01-07,98,140,169,1.0
47,47,2021-01-08,77,129,142,1.0
50,50,2021-01-11,131,255,329,1.0
51,51,2021-01-12,68,99,111,0.0
52,52,2021-01-13,59,109,177,1.0
53,53,2021-01-14,0,0,1,0.0
54,54,2021-01-15,68,132,130,0.0
57,57,2021-01-18,137,222,389,0.0
58,58,2021-01-19,83,134,239,1.0
59,59,2021-01-20,126,136,211,0.0
60,60,2021-01-21,89,148,195,1.0
61,61,2021-01-22,51,100,178,0.0
64,64,2021-01-25,117,192,418,0.0
65,65,2021-01-26,50,60,87,0.0
66,66,2021-01-27,24,49,100,1.0
67,67,2021-01-28,81,104,146,0.0
68,68,2021-01-29,108,123,139,0.0
71,71,2021-02-01,85,135,315,1.0
72,72,2021-02-02,44,67,142,1.0
73,73,2021-02-03,38,46,111,1.0
74,74,2021-02-04,43,68,137,0.0
75,75,2021-02-05,41,65,138,1.0
87,87,2021-02-17,102,320,970,1.0
88,88,2021-02-18,38,98,145,1.0
89,89,2021-02-19,38,79,119,0.0
92,92,2021-02-22,97,251,403,1.0
93,93,2021-02-24,76,96,205,0.0
94,94,2021-02-25,41,100,154,1.0
95,95,2021-02-26,81,128,159,0.0
99,99,2021-03-02,207,293,538,0.0
100,100,2021-03-03,49,54,146,1.0
101,101,2021-03-04,94,75,143,0.0
102,102,2021-03-05,63,67,134,0.0
105,105,2021-03-08,105,164,287,0.0
106,106,2021-03-09,92,127,159,1.0
107,107,2021-03-10,51,94,176,1.0
108,108,2021-03-11,53,90,185,1.0
109,109,2021-03-12,32,56,128,1.0
112,112,2021-03-15,89,170,334,0.0
113,113,2021-03-16,66,103,219,1.0
114,114,2021-03-17,44,101,171,0.0
115,115,2021-03-18,58,111,206,1.0
116,116,2021-03-19,59,116,207,0.0
119,119,2021-03-22,136,213,541,1.0
120,120,2021-03-23,0,1,1,0.0
121,121,2021-03-24,84,118,167,0.0
122,122,2021-03-25,31,82,205,1.0
123,123,2021-03-26,47,65,128,1.0
126,126,2021-03-29,65,164,294,1.0
127,127,2021-03-30,25,60,127,1.0
128,128,2021-03-31,50,103,194,0.0
129,129,2021-04-01,40,106,164,1.0
135,135,2021-04-07,171,391,673,1.0
136,136,2021-04-08,48,130,187,1.0
137,137,2021-04-09,108,160,216,0.0
140,140,2021-04-13,192,299,450,0.0
141,141,2021-04-14,13,32,40,1.0
142,142,2021-04-15,4,15,42,1.0
143,143,2021-04-16,41,77,106,1.0
146,146,2021-04-19,49,117,238,1.0
147,147,2021-04-20,83,197,259,1.0
148,148,2021-04-21,69,191,261,0.0
149,149,2021-04-22,215,241,346,0.0
150,150,2021-04-23,156,239,310,1.0
153,153,2021-04-26,232,416,627,1.0
154,154,2021-04-27,69,127,226,1.0
155,155,2021-04-28,137,273,327,0.0
156,156,2021-04-29,137,213,298,0.0
160,160,2021-05-03,298,428,772,0.0
161,161,2021-05-04,0,0,1,0.0
162,162,2021-05-05,147,149,199,0.0
163,163,2021-05-06,144,148,253,1.0
164,164,2021-05-07,154,187,386,1.0
167,167,2021-05-10,222,324,683,0.0
168,168,2021-05-11,268,251,364,0.0
169,169,2021-05-12,284,249,349,0.0
170,170,2021-05-13,253,227,360,0.0
171,171,2021-05-14,241,234,507,1.0
174,174,2021-05-17,366,369,569,0.0
175,175,2021-05-18,98,139,271,1.0
176,176,2021-05-19,0,0,1,0.0
177,177,2021-05-20,68,69,152,0.0
178,178,2021-05-21,56,76,206,1.0
181,181,2021-05-24,130,208,473,1.0
182,182,2021-05-25,109,129,231,1.0
183,183,2021-05-26,80,103,272,1.0
184,184,2021-05-27,58,111,246,0.0
185,185,2021-05-28,72,127,269,1.0
188,188,2021-05-31,214,296,680,1.0
189,189,2021-06-01,101,162,302,1.0
190,190,2021-06-02,96,148,289,1.0
191,191,2021-06-03,117,190,238,1.0
192,192,2021-06-04,75,118,130,0.0
195,195,2021-06-07,228,347,528,0.0
196,196,2021-06-08,98,160,239,0.0
197,197,2021-06-09,138,118,238,0.0
198,198,2021-06-10,143,179,227,1.0
199,199,2021-06-11,95,159,190,1.0
203,203,2021-06-15,236,368,598,1.0
204,204,2021-06-16,131,145,224,0.0
205,205,2021-06-17,74,138,230,1.0
206,206,2021-06-18,63,118,178,0.0
209,209,2021-06-21,210,323,642,0.0
210,210,2021-06-22,76,137,186,1.0
211,211,2021-06-23,160,182,229,1.0
212,212,2021-06-24,44,97,166,1.0
213,213,2021-06-25,75,89,191,1.0
216,216,2021-06-28,191,416,501,1.0
217,217,2021-06-29,50,158,208,1.0
218,218,2021-06-30,131,254,316,1.0
219,219,2021-07-01,138,221,308,0.0
220,220,2021-07-02,143,202,394,0.0
223,223,2021-07-05,220,412,781,1.0
224,224,2021-07-06,137,246,299,0.0
225,225,2021-07-07,209,313,427,0.0
226,226,2021-07-08,86,121,204,1.0
227,227,2021-07-09,182,219,282,0.0
230,230,2021-07-12,240,360,619,1.0
